"Interviewer","Andrew"
"So let me ask you what people or ideas inspired you to get into computer science and machine learning when you were young? When did you first fall in love with the field?","I grew up in Hong Kong and Singapore, and I started learning to code when I was 5 or 6 years old. At that time I was learning basic programming, and I would take these books and they'll tell you type this program into your computer. And as a result of all that typing I would get to play these very simple shoot them up games that you know I had implemented on my computer. So I thought it was fascinating as a young kid that I could write this code that was really just copying code from a book into my computer to then play these cool little video games. Another moment for me was when I was a teenager, and my father, because he's a doctor, was reading about expert systems and neural networks. So he got me to read some of these books, and I thought it was really cool that you could write a computer that started to exhibit intelligence. Then I remember doing an internship while I was in high school in Singapore, where I remember doing a lot of photocopying as an office assistant. And the highlight of my job was when I got to use the shredder. So the teenager in me remember thinking boy this is a lot of photocopying. If only we could write software build a robot something to automate this maybe I could do something else. So I think a lot of my work since then has centered on the theme of automation. Even the way I think about machine learning today we're very good at writing learning algorithms that can automate things that people can do. Or even launching the first MOOCs Mass Open Online Courses that later led to Coursera I was trying to automate what could be automatable in how I was teaching on campus."
"Was the process to automate parts of that to make it more sort of to have more impact from a single teacher a single educator?","Yeah I felt you know teaching at Stanford I was teaching machine learning to about 400 students a year at the time. And I found myself filming the exact same video every year telling the same jokes in the same room. And I thought why am I doing this? Why don't we just take last year's video and then I can spend my time building a deeper relationship with students. So that process of thinking through how to do that that led to the first MOOCs that we launched."
"And then you have more time to write new jokes. Are there favorite memories from your early days at Stanford teaching thousands of people in person and then millions of people online?","You know teaching online, what not many people know, was that a lot of those videos were shot between the hours of 10pm and 3am. A lot of times launching the first Moocs out of Stanford we'd already announced the course about 100000 people had signed up. We just started to write the code and we had not yet actually filmed the videos. So we had a lot of pressure and people waiting for us to produce the content. So many Fridays Saturdays I would go out have dinner with my friends and then I would think okay do I want to go home now? Or do you want to go to the office to film videos? And the thought of being able to help people potentially learn machine learning fortunately that made me think okay I'm going to go to my office go to my tiny little recording studio. I would adjust my Logic Webcam adjust my tablet make sure my mic was on and then I would start recording often until 2 a.m. Or 3 a.m. I think unfortunately that doesn't show that it was recorded that late at night but it was really inspiring the thought that we could create content to help so many people learn about machine learning."
"How did that feel? The fact that you're probably somewhat alone maybe a couple of friends recording with a Logitech webcam and kind of going home alone at 1 or 2 a.m. at night and knowing that that's gonna reach sort of thousands of people eventually millions of people. What's that feeling like? I mean is there a feeling of just satisfaction of pushing through?","I think it's humbling. And I wasn't thinking about what I was feeling. I think one thing I'm proud to say we got right from the early days was I told my whole team back then that the number one priority is to do what's best for students. And so when I went to the recording studio the only thing on my mind was what can I say? How can I design my slides? What do I need to draw right to make these concepts as clear as possible for learners? I think you know I've seen sometimes instructors is tempting to hey let's talk about my work. Maybe if I teach you about my research someone will cite my papers a couple more times. And I think 1 of the things we got right launched the first few MOOCs and later building Coursera was putting in place that bedrock principle of let's just do what's best for learners and forget about everything else. And I think that that as a guiding principle turned out to be really important to the rise of the MOOC movement."
"And the kind of learner you imagined in your mind is as broad as possible as global as possible. So really try to reach as many people interested in machine learning and AI as possible.","I really want to help anyone that had an interest in machine learning to break into the field. And I think sometimes I've actually had people ask me hey why are you spending so much time explaining gradient descent. And my answer was if I look at what I think the learner needs and would benefit from I felt that having that a good understanding of the foundations coming back to the basics would put them in a better state to then build on a long-term career. So we've tried to consistently make decisions on that principle."
"There's just millions of people who are interested in machine learning. So how big do you get a sense that this the number of people is that are interested from your perspective?","I think it's one of those things that maybe it feels like it came out of nowhere, but there's an inside building it. It took years. It's not those overnight successes, it took years to get there. My first foray into this type of online education was when we were filming my Stanford class and sticking the videos on YouTube. But it's basically the video that we put on YouTube. And then we had other versions of websites that I had built, most of which you would never have heard of because they reach small audiences, but that allowed me to iterate and  to learn what ideas work and what doesn't. For example, one of the features I was really excited about and really proud of was to build this website where multiple people could be logged into the website at the same time. So today if you go to a website if you're logged in and then I want to log in you need to log out. It was the same browser same computer. But I thought well what if twopeople say you and me were watching a video together in front of a computer? What if a website could have you type your name and password have me type my name and password and then now the computer knows both of us are watching together, and it gives both of us credit for anything we do as a group. Influences feature rolled it out in a school in San Francisco. We had about 20-something users.  And guess what? Zero people use this feature. It turns out people studying online they want to watch the videos by themselves. So you can play back pause at your own speed rather than in groups. So that was one example of a tiny lesson learned out of many that allows us to hone into the set of features."
"I saw that you really went through a lot of different features and a lot of ideas and to arrive at the final at Coursera the final kind of powerful thing that showed the world that MOOCs can educate millions","I think with the whole machine learning movement as wel,l I think it didn't come out of nowhere. Instead what happened was as more people learn about machine learning they will tell their friends and their friends will see how it's applicable to their work. And then the community kept on growing. I think we're still growing. I don't know in the future what percentage of all developers will be AI developers. I could easily see it being north of 50 percent because so many AI developers broadly construed not just people doing the machine learning modeling but the people building infrastructure data pipelines you know all the software is surrounding the core machine learning model. Maybe it's even bigger. I feel like today almost every software engineer has some understanding of the cloud not all but maybe it's just my microcontroller developer doesn't need to deal with the cloud. But I feel like the vast majority of software engineers today are sort of having an appreciation of the cloud. I think in the future maybe we'll approach nearly 100% of all developers being you know in some way an AI developer or at least having an appreciation of machine learning."
"You've mentioned a larger percentage of developers become machine learning people, and it seems like more and more the kinds of people who are becoming developers arealso growing significantly?","Yeah I think once upon a time only a small part of humanity was literate you know could read and write. And maybe you thought maybe not everyone needs to learn to read and write. You know you just go listen to a few monks right? Read to you and maybe that was enough. Or maybe we just need a few handful of authors to write the bestsellers and then nobody else needs to write. But what we found was that by giving as many people you know in some countries almost everyone basic literacy it dramatically enhanced human to human communications. And we can now write for an audience of one such as if I send you an email or you send me an email. I think in computing we're still in that phase where so few people know how to code that the coders mostly have to code for relatively large audiences. But if everyone or most people became developers at some level similar to how most people in developed economies are somewhat literate. I would love to see the owners of a mom and pop store be able to write a little bit of code to customize the TV display for their special this week. And I think it'll enhance human to computer communications which is becoming more and more important today as well."
"So you think it's possible that machine learning becomes kind of similar to literacy where, like you said, the owners of a mom and pop shop andbasically everybody in all walks of life would have some degree of programming capability?","I could see society getting there. There's one other interesting thing. If I go talk to the mom and pop store, if I talk to a lot of people in their daily professions, I previously didn't have a good story for why they should learn to code. You know we could give them some reasons. But what I found with the rise of machine learning and data science, is that I think the number of people with a concrete use for data science in their daily lives is maybe even larger than the number of people with a concrete use for software engineering. For example if you run a small mom and pop store, I think if you can analyze the data about your sales your customers. I think there's actually real value there, maybe even more than traditional software engineering. So I find that for a lot of my friends in various professions, be it recruiters or accountants or people that work in factories which I deal with more and more these days. I feel if they were data scientists at some level they could immediately use that in their work. So I think that data science and machine learning may be an even easier entree into the developer world for a lot of people than the software engineering."
"That's interesting. And I agree with that but that's beautifully put. We live in a world where most courses and talks have slides PowerPoint keynote and yet you famously often still use a marker and a whiteboard. The simplicity of that is compelling and for me at least fun to watch. So let me ask why do you like using a marker and whiteboard even on the biggest of stages?","I think it depends on the concepts you want to explain. For mathematical concepts it's nice to build up the equation one piece at a time. And the whiteboard marker or the pen and stylus is a very easy way to build up the equation build up a complex concept one piece at a time while you're talking about it. And sometimes that enhances understandability. The downside of writing is that it's slow. And so if you want a long sentence it's very hard to write that. So I think there are pros and cons. And sometimes I use slides and sometimes I use a whiteboard or a stylus."
"Do you have any favorite memories of working with Peter since you're your first student in those uncertain times especially before deep learning really sort of blew up Any favorite memories from those times?","Yeah I was really fortunate to have had Peter Abue as my first PhD student. And I think even my long-term professional success builds on early foundations or early work that Peter was so critical to. So I was really grateful to him for working with me. You know what not a lot of people know is just how hard research was and still is. Peter's PhD thesis was using reinforcement learning to fly helicopters. And so you know actually even today the website is still up. You can watch videos of us using reinforcement learning to make a helicopter fly upside down fly loops rows it's just cool."
"That was really inspiring to a lot of people.","Yeah. What not many people see is how hard it was. So Peter and Adam Coates and Morgan Quigley and I were working on various versions of the helicopter and a lot of things did not work. For example it turns out one of the hardest problems we had was when the helicopter's flying around upside down doing stunts, how do you figure out the position? How do you localize a helicopter? So we wanted to try all sorts of things. Having a GPS unit doesn't work because you're flying upside down and GPS unit is facing down so you can't see the satellites. So we tried we experimented trying to have two GPS unit. So if you flip over that didn't wor,  because the downward facing one couldn't synchronize if you're flipping quickly. Morgan Quigley was exploring this crazy complicated configuration of specialized hardware to interpret GPS signals. Spent about a year working on that, and it didn't work. So I remember Peter, great guy, him and me you know sitting down in my office looking at some of the latest things we had tried that didn't work. In the end what we did, and Adam Coates was crucial to this, was put cameras on the ground and use cameras on the ground to localize a helicopter. And that solved the localization problem. So they were good at focusing on reinforcement learning and inverse reinforcement learning techniques so it didn't actually make the helicopter fly. And you know I'm reminded when I was doing this work at Stanford around that time there was a lot of reinforcement learning theoretical papers, but not a lot of practical applications. So the autonomous helicopter work for flying helicopters was one of the few practical applications of reinforcement learning at the time which caused it to become pretty well known. I feel like we might've almost come full circle where today there's so much buzz so much hype so much excitement about reinforcement learning. But again we're hunting for more applications of all of these great ideas that the communities come up with."
"What was the drive sort of in the face of the fact that most people are doing theoretical work what motivate you in the uncertainty and the challenges to get the helicopter sort of to do the applied work to get the actual system to work?","I like stuff that works."
"So like it's back to the shredder and the-","Yeah. You know I like theory, but when I work on theory myself, I personally enjoy it more if I feel that the work I do will influence people have positive impact or help someone. I remember when many years ago I was speaking with a mathematics professor, and he kind of just said hey why do you do what you do? And then he said he actually he had stars in his eyes when he answered. And this mathematician, not from Stanford different university, he said I do what I do because it helps me to discover truth and beauty in the universe. He had stars in his eyes when he said that. And I thought that's great. I don't want to do that. I think it's great that someone does that fully support the people that do it a lot of respect for people that but I am more motivated when I can see a line to how the work that my teams and I are doing helps people. The world needs all sorts of people I'm just onetype. I don't think everyone should do things the same way as I do. But when I delve into either theory or practice if I personally have conviction you know that here's a path for us to help people I find that more satisfying to have that conviction."
"That's your path. You were a proponent of deep learning before it gained widespread acceptance. What did you see in this field that gave you confidence? What was your thinking process like in that first decade of the I don't know what that's called 2000s the aughts?","Yeah I can tell you the thing we got wrong and the thing we got right. The thing we really got wrong was the importance of the early importance of unsupervised learning. So early days of Google Brain we put a lot of effort into unsupervised learning rather than supervised learning."
"Oh so you're saying that that perhaps was the wrong intuition for the time?","That was the part we got wrong. The part we got right was the importance of scale. So Adam Coates another wonderful person fortunate to have worked with him he was in my group at Stanford at the time. And Adam had run these experiments at Stanford showing that the bigger we train a learning algorithm the better its performance. And it was based on that there was a graph that Adam generated you know where the X axis Y axis lines going up into the right. So the bigger you make this thing the better performance accuracy is the vertical axis. So it's really based on that chart that Adam generated gave me the conviction that we could scale these models way bigger than what we could on a few CPUs which is what we had at Stanford that we could get even better results. And it was really based on that one figure that Adam generated that gave me the conviction to go with Sebastian Thrun to pitch you know starting a project at Google which became the Google Brain Project."
"And I think people don't realize how groundbreaking of it It's simple but it's a groundbreaking idea that bigger datasets will result in better performance.","It was controversial at the time. Some of my well-meaning friends you know senior people in the machine learning community I won't name but who's people some of whom we know. My well-meaning friends came and were trying to give me friendly advice. Like hey Andrew why are you doing this? This is crazy. It's in the near natural architecture. Look at these architectures of building. You just want to go for scale? Like this is a bad career move. So my well-meaning friends you know we're trying to some of them were trying to talk me out of it. But I find that if you want to make a breakthrough you sometimes have to have conviction and do something before it's popular since that lets you have a bigger impact."
"What's your intuition at this time on those on this dual side is do we need to come up with better architectures for learning or can we just get bigger better datasets that will improve performance?","I think both are important. And it's also problem dependent. So for a few datasets we may be approaching you know a Bayes error rate or approaching or surpassing human level performance. And then there's that theoretical ceiling that we will never surpass a Bayes error rate. But then I think there are plenty of problems where we're still quite far from either human level performance or from Bayes error rate and bigger data sets with new networks without further algorithm innovation will be sufficient to take us further. But on the flip side if we look at the recent breakthroughs using transforming networks or language models It was a combination of novel architecture but also scale had a lot to do with it. If you look at what happened with GP2 and BERT I think scale was a large part of the story."
"it was like Reddit threads that had they were uprated highly. So there's already some weak supervision on a very large dataset that people don't often talk about right?","I find that today we have maturing processes to managing code things like Git right? Version control. It took a long time to evolve the good processes. I remember when my friends and I were emailing each other C++ files in email but then we had was it CVS or version Git maybe something else in the future. We're very immature in terms of tools for managing data and think about the clean data and how to solve that very hot messy data problems. I think there's a lot of innovation there to be had still."
"I love the idea that you were versioning through email.","I'll give you 1 example. When we work with manufacturing companies it's not at all uncommon for there to be multiple labelists that disagree with each other right? And so we would doing the work in visual inspection we will take say a plastic pot and show it to 1 inspector. And the inspector sometimes very opinionated they'll go clearly that's a defect this scratch unacceptable gotta reject this pot. Take the same pot to different inspector different very opinionated clearly the scratch is small it's fine don't throw it away you're gonna make SEOs. And then sometimes you take the same plastic part show it to the same inspector in the afternoon as opposed to in the morning and very often they go in the morning they say clearly it's okay in the afternoon equally confident clearly this is a defect. And so what is an AI team supposed to do if sometimes even 1 person doesn't agree with himself or herself in the span of a day. So I think these are the types of very practical very messy data problems that my teams wrestle with. In the case of large consumer internet companies where you have a billion users you have a lot of data you don't worry about it just take the average it kind of works. But in the case of other industry settings we don't have big data if you use a small data very small data sets maybe around a hundred defective parts or a hundred examples of a defect. If you have only 100 examples these little labeling errors if 10 of your 100 labels are wrong that actually is 10 percent of your dataset has a big impact. So how do you clean this up? What are you supposed to do? This is an example of the types of things that my teams this is a landing AI example are wrestling with to deal with small data which comes up all the time once you're outside consumer internet."
"Yeah that's fascinating. And so then you invest more effort and time in thinking about the actual labeling process. What are the labels? What are the how are disagreements resolved and all those kinds of like pragmatic real world problems. That's a fascinating space.","Yeah I find that actually when I'm teaching at Stanford I increasingly encourage students at Stanford to try to find their own project for the end of term project rather than just downloading someone else's nicely clean data set. It's actually much harder if you need to go and define your own problem and find your own data set rather than go to 1 of the several good websites very good websites with clean scoped data sets that you could just work on."
"You're now running 3 efforts the AI Fund Landing AI and deeplearning.ai. As you've said the AI fund is involved in creating new companies from scratch. Landing AI is involved in helping already established companies do AI and deep learning AI is for education of everyone else or of individuals interested of getting into the field and excelling in it. So let's perhaps talk about each of these areas. First deeplearning.ai. How the basic question how does a person interested in deep learning get started in the field?","Deeplearning.ai is working to create causes to help people break into AI. So my machine learning course that I taught through Stanford remains 1 of the most popular courses on Coursera."
"You've influenced the amount of people you've influenced is ridiculous. So for that I'm sure I speak for a lot of people say big thank you.","No yeah thank you. You know I was once reading a news article I think it was tech review and I'm gonna mess up the statistic But I remember reading an article that said something like 1 third of our programmers are self-taught. I may have the number 1 third wrong it was 2 thirds. But when I read that article I thought this doesn't make sense. Everyone is self-taught. So because you teach yourself. I don't teach people. I just-"
"That's well put. So yeah so how does 1 get started in deep learning and where does deeplearning.ai fit into that?","So the deep learning specialization offered by deeplearning.ai is I think it was Coursera's top specialization. It might still be. So it's a very popular way for people to take that specialization to learn about everything from neural networks to how to tune in your network. So what does a conf net do? What is a RNN or a sequence model? Or what is an attention model? And so the deep learning specialization steps everyone through those algorithms. So you deeply understand it and can implement it and use it for whatever application."
